"Membro","Comentário","Ação","Adicionado?","Comentários adicionais"
"Prof. Tasinaffo","(Capa) O nome do Prof. Maximo é sem acento.","Removido o acento em todas as ocorrências: capa/folha de rosto (tese.tex), agradecimentos, citação da publicação no Cap.1 e entrada do .bib.","SIM","Confirmado com o autor. No registro oficial do ITA consta com acento; adotada a grafia sem acento conforme pedido da banca e conforme o professor assina suas publicações."
"Prof. Tasinaffo","Fazer um Resumo e um Abstract mais didáticos; do jeito que estão, leigos não entenderão e poderão desistir da leitura.","Resumo e Abstract inteiramente reescritos em linguagem acessível: partem do cenário concreto (táxis aéreos e drones sobre cidades), explicam detect-and-avoid e as metades sense/avoid, descrevem os quatro estágios do pipeline em português/inglês simples e só então apresentam os três estudos e seus resultados.","SIM","PreTextuais/resumo.tex e PreTextuais/abstract.tex. Criado também PreTextuais/resumo_frd.tex, versão condensada, pois o resumo completo não cabe na caixa de altura fixa da Folha de Registro do Documento."
"Prof. Tasinaffo","(Pg. 25) Colocar o significado da sigla GNSS na primeira aparição.","Primeira ocorrência (Cap.1, Seção 1.1.1) expandida para ""Global Navigation Satellite System (GNSS)"".","SIM","GNSS também acrescentado à Lista de Abreviaturas, que já o continha."
"Prof. Tasinaffo","(Pg. 27) Trocar ""convolutional neural networks (CNNs)"" por ""Convolutional Neural Networks (CNNs)"".","Corrigido no Cap.1 e no Cap.2 (""A Convolutional Neural Network (CNN)"").","SIM",""
"Prof. Tasinaffo","(Pg. 27 e 28) Acrescentar na Introdução uma Seção ""Proposta de Solução"", dividindo a Seção 1.3 em duas.","Seção 1.3 dividida: ""1.3 Problem Statement"" (problema e as três dificuldades) e a nova ""1.4 Proposed Solution"", que descreve o pipeline, traz a figura da arquitetura e a subseção ""Where the Point Clouds Come From"". As seções seguintes foram renumeradas automaticamente.","SIM",""
"Prof. Tasinaffo","(Pg. 30) Elogio à Seção sobre o uso de IA generativa no trabalho.","Sem ação necessária. A seção foi mantida (agora Seção 1.9).","N/A","Elogio."
"Prof. Tasinaffo","(Cap. 2) Ao apresentar as equações, ir dizendo onde elas serão utilizadas mais adiante.","Acrescentada ao final do Cap.2 a seção ""Summary and Road Map"", que percorre cada equação do capítulo e indica em qual capítulo posterior ela é usada (recursões do KF/EKF, convenções de referencial, perturbação em SE(3), modelo de velocidade constante, medida esférica, projeção pinhole, métricas e blocos de aprendizado). Adicionados também ponteiros pontuais ao longo do texto.","SIM",""
"Prof. Tasinaffo","(Pg. 36 e 37) Trocar ""root-mean-square error (RMSE)"" por ""Root-Mean-Square Error (RMSE)"" e o mesmo para NEES, NIS, PCRB, TP, FP, FN, R, MOTA e CNN.","Todas as expansões corrigidas para caixa alta: RMSE, NEES, NIS, PCRB, True Positive (TP), False Positive (FP), False Negative (FN), Precision (P), Recall (R), MOTA, AMOTA, CNN, KF, BEV.","SIM","Feita varredura automática em todos os arquivos .tex para localizar o padrão ""expansão minúscula (SIGLA)""."
"Prof. Tasinaffo","(Pg. 43) Primeira linha da Seção 3.3: uma palavra ultrapassa a margem direita.","Corrigido. A frase foi reescrita para eliminar o composto hifenizado que impedia a quebra, e foram acrescentados \tolerance=2000 e \emergencystretch=3em ao preâmbulo.","SIM","Efeito global: as linhas com excesso de largura (overfull hbox) caíram de 14 para 1 — a única remanescente está na tabela da Folha de Registro, que é do próprio template do ITA."
"Prof. Tasinaffo","Finalizar o Capítulo 3 (e todos os capítulos) com um parágrafo breve descrevendo o que será visto no capítulo seguinte.","Acrescentados parágrafos de encerramento com a transição para o capítulo seguinte nos Capítulos 2, 3, 5, 6 e 7. O Capítulo 4 já possuía; o Capítulo 8 é o último.","SIM","No Cap.3 o parágrafo foi reescrito para apontar para o Cap.4 (o capítulo seguinte), e não para o Cap.5."
"Prof. Tasinaffo","(Pg. 49) A Figura 4.1 demorou demais para aparecer; deveria estar já no Capítulo 1.","A figura do pipeline foi inserida no Capítulo 1, dentro da nova Seção 1.4 (Proposed Solution), como Figura 1.2, com legenda remetendo ao Cap.4 para o detalhamento. A figura original foi mantida no Cap.4.","SIM",""
"Prof. Tasinaffo","(Pg. 53) Seções criadas sem texto introdutório antes da primeira subseção (ex.: 5.2 e 5.2.1); ocorre várias vezes no documento.","Localizadas por varredura automática as 12 ocorrências do padrão e inserido um parágrafo introdutório em todas: Cap.1 (Objectives), Cap.2 (3 seções), Cap.3 (2), Cap.5 (2, incluindo a 5.2 citada), Cap.6 (Results) e Cap.7 (3).","SIM",""
"Prof. Tasinaffo","(Pg. 54) Trocar ""Constant-velocity (CV)"" por ""Constant-Velocity (CV)""; o mesmo para PCRB (pg. 61).","Corrigido no Cap.2 e no Cap.5, e o PCRB corrigido no Cap.2, Cap.5 e Apêndice A.","SIM",""
"Prof. Tasinaffo","Não sou especialista na área e não poderei revisar as equações.","Sem ação. As deduções foram, ainda assim, ampliadas e verificadas em resposta aos apontamentos do Prof. Bruno.","N/A",""
"Prof. Tasinaffo","(Pg. 58) Elogio à formulação e à demonstração formal da Proposição 5.1.","Sem ação. Mantida.","N/A","Elogio."
"Prof. Tasinaffo","Elogio ao formalismo e aos resultados do Capítulo 5.","Sem ação.","N/A","Elogio."
"Prof. Tasinaffo","(Pg. 61) Deixar para dizer o que será feito no Capítulo 6 somente no último parágrafo do Capítulo 5, e não na penúltima seção.","O anúncio do Cap.6 foi removido da Seção 5.7.3 e passou a ser o último parágrafo do capítulo, dentro da nova Seção 5.9 (Choice of Frame in Practice).","SIM",""
"Prof. Tasinaffo","(Pg. 77) Trocar ""normalized innovation squared (NIS)"" por caixa alta; idem RPC (pg. 82), PFN (pg. 91) e RMSE (pg. 94).","Corrigidos: NIS (Cap.2 e Cap.6), Remote-Procedure-Call (RPC) e Pillar Feature Network (PFN) no Cap.7, e RMSE no Cap.7. Acrescentada também Set-Abstraction (SA).","SIM",""
"Prof. Tasinaffo","Os Capítulos 7 e 8 estão adequados; o Capítulo 8 detalha bem limitações e melhorias futuras.","Sem ação corretiva. Ambos foram, mesmo assim, ampliados em resposta aos demais membros.","N/A","Elogio."
"Prof. Tasinaffo","O Capítulo 6 está bastante adequado.","Sem ação corretiva. Ampliado conforme pedidos dos Profs. Alberto e Bruno.","N/A","Elogio."
"Prof. Tasinaffo","Sugiro incluir o artigo clássico do algoritmo Adam (2014, arXiv).","Referência de Kingma e Ba (ICLR 2015; arXiv:1412.6980, 2014) adicionada ao .bib e citada nos dois pontos em que o Adam é usado (Cap.7 e Apêndice B).","SIM",""
"Prof. Tasinaffo","Parabéns pelo excelente trabalho.","Sem ação.","N/A","Elogio."
"Prof. Alberto","Publicação em conferência Qualis A1; texto bem escrito; uso de IA adequado; boa apresentação.","Sem ação.","N/A","Elogio."
"Prof. Alberto","Slide 35: o gráfico não é igual à Figura 6.6 da dissertação (p. 75). Ajustar na dissertação e explicar melhor a figura no texto.","Investigado e RESOLVIDO na máquina de dados. A figura da dissertação já era a versão corrigida pela auditoria de 06/06/2026 (commit 09505f0). Os scripts da auditoria estavam versionados no repositório do tracker (commit 4dee191: verify_projection.py, verify_ekf.py, cap6_figs.py) e reproduziram bit a bit todos os números publicados, de modo que as figuras 6.7 e 6.8 foram efetivamente regeradas a partir dos dados brutos (novo script cap6_figs_v2.py).","SIM","Os slides continuam desatualizados e devem ser atualizados antes de qualquer reapresentação; a pasta 'DEFESA - SLIDES' não existe nesta máquina, então a regeração das figuras dos slides não pôde ser feita aqui. Verificada também a suspeita de que a curva de erro seria inconsistente com o gráfico de trajetória: NÃO há inconsistência. As duas foram conferidas amostra a amostra e coincidem exatamente; a aparência de contradição vinha de os estados divergentes (até (40,4; 17,4) m) caírem fora dos limites dos eixos do mapa. Registrado no texto (Seção 6.3.2)."
"Prof. Alberto","A legenda do EKF na Figura 6.6 está confusa; indicar que corresponde à barra de cor.","Legenda reescrita explicitando que a trajetória do EKF é colorida pelo tempo de voo e que a barra de cor à direita é a escala correspondente.","SIM",""
"Prof. Alberto","Debater possíveis erros sistemáticos: giro do drone, erro na diagonal, erro devido à distância.","Ampliada a discussão de resultados do Cap.6 com a análise dos erros sistemáticos: dependência do erro com a distância (com a figura de erro versus alcance), efeito do ângulo de depressão rasante e o papel do giro em guinada, que é quando a pose de navegação é menos confiável e o alvo sai do campo de visão.","SIM",""
"Prof. Alberto","Comentário geral: o texto não detalha suficientemente bem os resultados mostrados em gráficos (ex.: Figura 6.7).","Discussão dos resultados do Cap.6 substancialmente ampliada, separando explicitamente a acurácia da geometria (projeção quadro a quadro) da robustez da cadeia completa, e explicando o que cada painel das figuras mostra.","SIM",""
"Prof. Alberto","Renomear ""horizontal error"" para ""erro no plano do chão"" (ground-plane error).","Termo renomeado para ""ground-plane error"" em todo o Cap.6 e no Cap.8, e acrescentado um parágrafo ""Terminology"" explicando que a medida é feita no plano do solo e não no plano da aeronave, e por que a componente vertical não é reportada.","SIM","Os rótulos dos eixos dentro dos arquivos PDF das figuras serão atualizados na regeneração."
"Prof. Alberto","Figura 6.7: excluir os quadros em que a câmera não detecta o alvo (durante o giro), pois inflam o erro.","Implementado com um teste físico de visibilidade, e não mais com o heurístico de velocidade > 4 m/s. Um quadro só conta como 'alvo em campo de visão' se (i) o raio retroprojetado da detecção intersecta o plano do chão à frente da câmera (lambda > 0), (ii) o ponto no piso cai a no máximo 2 m do tatame topografado, e (iii) pelo menos um canto topografado do tatame projeta dentro da imagem 1280x960. O teste usa só intrínsecos, pose registrada e a geometria da sala — está disponível online e é o critério operacional que o sistema usaria para declarar perda de visada. Rejeita 106 dos 626 quadros com detecção (16,9%): 37 por raio que nunca atinge o piso e 69 por cair fora do tatame. As detecções rejeitadas ficam no alto da imagem (linha mediana v=185, contra 354 nas aceitas), acima do horizonte.","SIM","Números atualizados: 'alvo em campo de visão' passou de mediana 1,28 m / RMSE 2,07 m (n=97, janelas de tempo ajustadas à mão) para mediana 1,43 m / RMSE 2,46 m (n=103, teste físico). 'Todos os quadros' permanece 1,75 m / 6,27 m (n=128), inalterado. Atualizados de forma consistente: Tabela 6.1, legendas das Figuras 6.6/6.7/6.8, Discussão do Cap.6 e o item correspondente do Cap.8."
